Symbol,Date,Close
AMC,3/3/2015,34.86
AMC,3/4/2015,35.05
AMC,3/5/2015,34.87
AMC,3/6/2015,33.96
AMC,3/9/2015,34.88
AMC,3/10/2015,33.8
AMC,3/11/2015,34.5
AMC,3/12/2015,34.32
AMC,3/13/2015,34.9
AMC,3/16/2015,35.16
AMC,3/17/2015,35.14
AMC,3/18/2015,35.32
AMC,3/19/2015,35.45
AMC,3/20/2015,35.68
AMC,3/23/2015,35.86
AMC,3/24/2015,34.95
AMC,3/25/2015,34.51
AMC,3/26/2015,34.63
AMC,3/27/2015,34.95
AMC,3/30/2015,35.52
AMC,3/31/2015,35.49
AMC,4/1/2015,34.76
AMC,4/2/2015,35.18
AMC,4/6/2015,35.38
AMC,4/7/2015,34.71
AMC,4/8/2015,35.2
AMC,4/9/2015,34.25
AMC,4/10/2015,34.1
AMC,4/13/2015,33.44
AMC,4/14/2015,33.69
AMC,4/15/2015,33.91
AMC,4/16/2015,33.36
AMC,4/17/2015,32.8
AMC,4/20/2015,33.69
AMC,4/21/2015,33.37
AMC,4/22/2015,32.9
AMC,4/23/2015,32.97
AMC,4/24/2015,32.87
AMC,4/27/2015,32.04
AMC,4/28/2015,32.38
AMC,4/29/2015,32.5
AMC,4/30/2015,30.06
AMC,5/1/2015,30.75
AMC,5/4/2015,30.49
AMC,5/5/2015,29.97
AMC,5/6/2015,29.54
AMC,5/7/2015,29.83
AMC,5/8/2015,29.66
AMC,5/11/2015,29.97
AMC,5/12/2015,29.01
AMC,5/13/2015,29.39
AMC,5/14/2015,29.46
AMC,5/15/2015,29.11
AMC,5/18/2015,29.9
AMC,5/19/2015,29.4
AMC,5/20/2015,29.46
AMC,5/21/2015,29.37
AMC,5/22/2015,29.6
AMC,5/26/2015,29.52
AMC,5/27/2015,29.26
AMC,5/28/2015,29.25
AMC,5/29/2015,28.91
AMC,6/1/2015,28
AMC,6/2/2015,27.87
AMC,6/3/2015,28.44
AMC,6/4/2015,28.24
AMC,6/5/2015,28.83
AMC,6/8/2015,28.39
AMC,6/9/2015,28.51
AMC,6/10/2015,28.22
AMC,6/11/2015,28.57
AMC,6/12/2015,28.47
AMC,6/15/2015,28.87
AMC,6/16/2015,28.47
AMC,6/17/2015,28.01
AMC,6/18/2015,29.58
AMC,6/19/2015,30.1
AMC,6/22/2015,30.55
AMC,6/23/2015,30.42
AMC,6/24/2015,30.13
AMC,6/25/2015,30.28
AMC,6/26/2015,31.64
AMC,6/29/2015,30.44
AMC,6/30/2015,30.68
AMC,7/1/2015,30.38
AMC,7/2/2015,30.78
AMC,7/6/2015,30.61
AMC,7/7/2015,30.85
AMC,7/8/2015,30.47
AMC,7/9/2015,30.63
AMC,7/10/2015,31.35
AMC,7/13/2015,31.84
AMC,7/14/2015,32.64
AMC,7/15/2015,32.5
AMC,7/16/2015,32.61
AMC,7/17/2015,32.82
AMC,7/20/2015,32.9
AMC,7/21/2015,31.89
AMC,7/22/2015,32.33
AMC,7/23/2015,32.21
AMC,7/24/2015,31.05
AMC,7/27/2015,30.75
AMC,7/28/2015,29.93
AMC,7/29/2015,30.43
AMC,7/30/2015,31.69
AMC,7/31/2015,32.25
AMC,8/3/2015,32.17
AMC,8/4/2015,31.59
AMC,8/5/2015,30.56
AMC,8/6/2015,29.47
AMC,8/7/2015,29.59
AMC,8/10/2015,29.7
AMC,8/11/2015,28.28
AMC,8/12/2015,28.36
AMC,8/13/2015,29.07
AMC,8/14/2015,29.46
AMC,8/17/2015,30.76
AMC,8/18/2015,30.59
AMC,8/19/2015,31
AMC,8/20/2015,29.8
AMC,8/21/2015,29.27
AMC,8/24/2015,28
AMC,8/25/2015,28.46
AMC,8/26/2015,28.77
AMC,8/27/2015,28.86
AMC,8/28/2015,29.01
AMC,8/31/2015,28.98
AMC,9/1/2015,27.71
AMC,9/2/2015,27.9
AMC,9/3/2015,27.43
AMC,9/4/2015,27.71
AMC,9/8/2015,27.91
AMC,9/9/2015,27.16
AMC,9/10/2015,27.13
AMC,9/11/2015,26.93
AMC,9/14/2015,26.94
AMC,9/15/2015,27.12
AMC,9/16/2015,27.18
AMC,9/17/2015,27.61
AMC,9/18/2015,27.99
AMC,9/21/2015,27.19
AMC,9/22/2015,25.87
AMC,9/23/2015,25.19
AMC,9/24/2015,25.62
AMC,9/25/2015,25.49
AMC,9/28/2015,24.46
AMC,9/29/2015,24.27
AMC,9/30/2015,25.19
